id,created_at,updated_at,content,user_id,order,stapel
15,2026-03-29 01:04:58.759764+00,2026-03-29 20:45:41.693131+00,"When life gives you lemons, lean back and squeeze that shit into your eyeballs. Then stare back at life and say, ""Is that all you got, motherfucker?“",1,0,Inspo
26,2026-04-01 14:35:27.480235+00,2026-04-01 16:36:59.558821+00,"You don't serve people from your cup, you serve them from the overflow of the cup.",1,1,Mark Manson
17,2026-03-29 01:05:37.718317+00,2026-04-01 16:36:51.783438+00,Boundaries only piss off the people who benefited from you having none.,1,2,Mark Manson
12,2026-03-29 01:03:38.060583+00,2026-04-01 16:37:16.251812+00,It's all on you.,1,3,Mark Manson
6,2026-03-25 21:59:16.263006+00,2026-04-01 16:37:24.131762+00,"Most people aren't evil, they 're just stupid. This includes ourselves, too.",1,4,Mark Manson
19,2026-03-29 01:06:18.935139+00,2026-04-01 16:37:08.450809+00,"Fear occurs in proportion to importance. The more afraid you are to do something, the more likely it's exactly what you need to do.",1,5,Mark Manson
1,2026-03-25 12:05:57.579228+00,2026-04-01 16:37:39.957256+00,"If you wouldn‘t ask for their advice, fuck their criticism.",1,6,Mark Manson
22,2026-03-29 01:07:51.473399+00,2026-03-29 20:27:01.592687+00,"5 powerful questions
How are you really doing right now?

How somebody you spent time together or you wish you did?

What's something you did recently that brings you joy?

What's something that you have been putting off that's draining your energy? 

What's something new, that you were willing to do during the week?",1,8,Reminders to myself
20,2026-03-29 01:06:48.819185+00,2026-04-01 16:40:24.525108+00,"Happiness
Enjoyment
Satisfaction
Meaning",1,9,Good
25,2026-03-30 20:34:24.383434+00,2026-03-30 20:34:37.396606+00,"I think, my guardian angel drinks.",1,10,""
21,2026-03-29 01:07:03.476916+00,2026-03-29 01:07:03.476927+00,"80% signal, 20% noise",1,11,""
16,2026-03-29 01:05:13.531136+00,2026-03-29 01:05:13.53115+00,Cost of inaction is often higher than the cost of the wrong action. Always be in motion.,1,12,""
14,2026-03-29 01:04:32.453391+00,2026-03-29 01:04:44.805349+00,"Schedule your month like this:
1. One lunch date with a friend.
2. One full day out in nature.
3. 24 hours with no social media.
4. One day doing absolutely nothing.
5. One day trying something brand new.
6. One at-home movie night with your family.
7. One day serving others.
8. One self-care or pamper day just for yourself.
9. One day waking up early to watch the sunrise.
10. One day watching the sunset.
11. One solo cafe date for yourself.",1,13,""
13,2026-03-29 01:03:59.004226+00,2026-03-29 01:03:59.00424+00,Saglabā atvērtu attieksmi.,1,14,""
10,2026-03-25 22:11:11.15672+00,2026-03-25 22:11:11.156729+00,You're getting close. That's why it's getting tough.,1,15,""
7,2026-03-25 22:00:20.611851+00,2026-03-25 22:00:20.611883+00,A little bit of truth exists in everything; but the whole truth in nothing.,1,16,""
5,2026-03-25 21:42:22.146477+00,2026-03-25 21:42:22.146487+00,You are perfect just as you are... But you can always be better.,1,17,""
3,2026-03-25 21:34:34.934998+00,2026-03-25 21:34:34.935008+00,"Slow productivity
1. Do fever things
2. Work at a natural pace
3. Obsess over quality",1,18,""
24,2026-03-29 14:16:11.626119+00,2026-04-01 16:41:25.067448+00,"If it’s not hell yes, it a no.",1,7,Random
